FirstName,LastName,MI,DOB,Gender,PhoneType,PhoneNo,Status,AgeGroup
Auto,AAFBX,X,'02191991,F,Mobile,7777701449,OLD,Major
Auto,AAFBY,Y,'02201991,M,Mobile,7777701450,OLD,Major
Auto,AAFBZ,Z,'02211991,M,Mobile,7777701451,OLD,Major
Auto,AAFCA,A,'02221991,F,Mobile,7777701452,OLD,Major
Auto,AAFCB,B,'02231991,F,Mobile,7777701453,OLD,Major
Auto,AAFCC,C,'02241991,M,Mobile,7777701454,OLD,Major
Auto,AAFCD,D,'02251991,M,Mobile,7777701455,OLD,Major
Auto,AAFCE,E,'02261991,F,Mobile,7777701456,OLD,Major
Auto,AAFCF,F,'02271991,M,Mobile,7777701457,OLD,Major
Auto,AAFCG,G,'02281991,F,Mobile,7777701458,OLD,Major
Auto,AAFCH,H,'03011991,F,Mobile,7777701459,OLD,Major
Auto,AAFCI,I,'03021991,M,Mobile,7777701460,OLD,Major
Auto,AAFCJ,J,'03031991,M,Mobile,7777701461,OLD,Major
Auto,AAFCK,K,'03041991,F,Mobile,7777701462,OLD,Major
Auto,AAFCL,L,'03051991,F,Mobile,7777701463,OLD,Major
Auto,AAFCM,M,'03061991,M,Mobile,7777701464,OLD,Major
Auto,AAFCN,N,'03071991,M,Mobile,7777701465,OLD,Major
Auto,AAFCO,O,'03081991,F,Mobile,7777701466,OLD,Major
Auto,AAFCP,P,'03091991,M,Mobile,7777701467,OLD,Major
Auto,AAFCQ,Q,'03101991,F,Mobile,7777701468,OLD,Major
Auto,AAFCR,R,'03111991,F,Mobile,7777701469,OLD,Major
Auto,AAFCS,S,'03121991,M,Mobile,7777701470,OLD,Major
Auto,AAFCT,T,'03131991,M,Mobile,7777701471,OLD,Major
Auto,AAFCU,U,'03141991,F,Mobile,7777701472,OLD,Major
Auto,AAFCV,V,'03151991,F,Mobile,7777701473,OLD,Major
Auto,AAFCW,W,'03161991,M,Mobile,7777701474,OLD,Major
Auto,AAFCX,X,'03171991,M,Mobile,7777701475,OLD,Major
Auto,AAFCY,Y,'03181991,F,Mobile,7777701476,OLD,Major
Auto,AAFCZ,Z,'03191991,M,Mobile,7777701477,OLD,Major
Auto,AAFDA,A,'03201991,F,Mobile,7777701478,OLD,Major
Auto,AAFDB,B,'03211991,F,Mobile,7777701479,OLD,Major
Auto,AAFDC,C,'03221991,M,Mobile,7777701480,OLD,Major
Auto,AAFDD,D,'03231991,M,Mobile,7777701481,OLD,Major
Auto,AAFDE,E,'03241991,F,Mobile,7777701482,OLD,Major
Auto,AAFDF,F,'03251991,F,Mobile,7777701483,OLD,Major
Auto,AAFDG,G,'03261991,M,Mobile,7777701484,OLD,Major
Auto,AAFDH,H,'03271991,M,Mobile,7777701485,OLD,Major
Auto,AAFDI,I,'03281991,F,Mobile,7777701486,OLD,Major
Auto,AAFDJ,J,'03291991,M,Mobile,7777701487,OLD,Major
Auto,AAFDK,K,'03301991,F,Mobile,7777701488,OLD,Major
Auto,AAFDL,L,'03311991,F,Mobile,7777701489,OLD,Major
Auto,AAFDM,M,'04011991,M,Mobile,7777701490,OLD,Major
Auto,AAFDN,N,'04021991,M,Mobile,7777701491,OLD,Major
Auto,AAFDO,O,'04031991,F,Mobile,7777701492,OLD,Major
Auto,AAFDP,P,'04041991,F,Mobile,7777701493,OLD,Major
Auto,AAFDQ,Q,'04051991,M,Mobile,7777701494,OLD,Major
Auto,AAFDR,R,'04061991,M,Mobile,7777701495,OLD,Major
Auto,AAFDS,S,'04071991,F,Mobile,7777701496,OLD,Major
Auto,AAFDT,T,'04081991,M,Mobile,7777701497,OLD,Major
Auto,AAFDU,U,'04091991,F,Mobile,7777701498,OLD,Major
Auto,AAFDV,V,'04101991,F,Mobile,7777701499,OLD,Major
Auto,AAFDW,W,'04111991,M,Mobile,7777701500,OLD,Major
Auto,AAFDX,X,'04121991,M,Mobile,7777701501,OLD,Major
Auto,AAFDY,Y,'04131991,F,Mobile,7777701502,OLD,Major
Auto,AAFDZ,Z,'04141991,F,Mobile,7777701503,OLD,Major
Auto,AAFEA,A,'04151991,M,Mobile,7777701504,OLD,Major
Auto,AAFEB,B,'04161991,M,Mobile,7777701505,OLD,Major
Auto,AAFEC,C,'04171991,F,Mobile,7777701506,OLD,Major
Auto,AAFED,D,'04181991,M,Mobile,7777701507,OLD,Major
Auto,AAFEE,E,'04191991,F,Mobile,7777701508,OLD,Major
Auto,AAFEF,F,'04201991,F,Mobile,7777701509,OLD,Major
Auto,AAFEG,G,'04211991,M,Mobile,7777701510,OLD,Major
Auto,AAFEH,H,'04221991,M,Mobile,7777701511,OLD,Major
Auto,AAFEI,I,'04231991,F,Mobile,7777701512,OLD,Major
Auto,AAFEJ,J,'04241991,F,Mobile,7777701513,OLD,Major
Auto,AAFEK,K,'04251991,M,Mobile,7777701514,OLD,Major
Auto,AAFEL,L,'04261991,M,Mobile,7777701515,OLD,Major
Auto,AAFEM,M,'04271991,F,Mobile,7777701516,OLD,Major
Auto,AAFEN,N,'04281991,M,Mobile,7777701517,OLD,Major
Auto,AAFEO,O,'04291991,F,Mobile,7777701518,OLD,Major
Auto,AAFEP,P,'04301991,F,Mobile,7777701519,OLD,Major
Auto,AAFEQ,Q,'05011991,M,Mobile,7777701520,OLD,Major
Auto,AAFER,R,'05021991,M,Mobile,7777701521,OLD,Major
Auto,AAFES,S,'05031991,F,Mobile,7777701522,OLD,Major
Auto,AAFET,T,'05041991,F,Mobile,7777701523,OLD,Major
Auto,AAFEU,U,'05051991,M,Mobile,7777701524,OLD,Major
Auto,AAFEV,V,'05061991,M,Mobile,7777701525,OLD,Major
Auto,AAFEW,W,'05071991,F,Mobile,7777701526,OLD,Major
Auto,AAFEX,X,'05081991,M,Mobile,7777701527,OLD,Major
Auto,AAFEY,Y,'05091991,F,Mobile,7777701528,OLD,Major
Auto,AAFEZ,Z,'05101991,F,Mobile,7777701529,OLD,Major
Auto,AAFFA,A,'05111991,M,Mobile,7777701530,OLD,Major
Auto,AAFFB,B,'05121991,M,Mobile,7777701531,OLD,Major
Auto,AAFFC,C,'05131991,F,Mobile,7777701532,OLD,Major
Auto,AAFFD,D,'05141991,F,Mobile,7777701533,OLD,Major
Auto,AAFFE,E,'05151991,M,Mobile,7777701534,OLD,Major
Auto,AAFFF,F,'05161991,M,Mobile,7777701535,OLD,Major
Auto,AAFFG,G,'05171991,F,Mobile,7777701536,OLD,Major
Auto,AAFFH,H,'05181991,M,Mobile,7777701537,OLD,Major
Auto,AAFFI,I,'05191991,F,Mobile,7777701538,OLD,Major
Auto,AAFFJ,J,'05201991,F,Mobile,7777701539,OLD,Major
Auto,AAFFK,K,'05211991,M,Mobile,7777701540,OLD,Major
Auto,AAFFL,L,'05221991,M,Mobile,7777701541,OLD,Major
Auto,AAFFM,M,'05231991,F,Mobile,7777701542,OLD,Major
Auto,AAFFN,N,'05241991,F,Mobile,7777701543,OLD,Major
Auto,AAFFO,O,'05251991,M,Mobile,7777701544,OLD,Major
Auto,AAFFP,P,'05261991,M,Mobile,7777701545,OLD,Major
Auto,AAFFQ,Q,'05271991,F,Mobile,7777701546,OLD,Major
Auto,AAFFR,R,'05281991,M,Mobile,7777701547,OLD,Major
Auto,AAFFS,S,'05291991,F,Mobile,7777701548,OLD,Major
Auto,AAFFT,T,'05301991,F,Mobile,7777701549,OLD,Major
Auto,AAFFU,U,'05311991,M,Mobile,7777701550,OLD,Major
Auto,AAFFV,V,'06011991,M,Mobile,7777701551,OLD,Major
Auto,AAFFW,W,'06021991,F,Mobile,7777701552,OLD,Major
Auto,AAFFX,X,'06031991,F,Mobile,7777701553,OLD,Major
Auto,AAFFY,Y,'06041991,M,Mobile,7777701554,OLD,Major
Auto,AAFFZ,Z,'06051991,M,Mobile,7777701555,OLD,Major
Auto,AAFGA,A,'06061991,F,Mobile,7777701556,OLD,Major
Auto,AAFGB,B,'06071991,M,Mobile,7777701557,OLD,Major
Auto,AAFGC,C,'06081991,F,Mobile,7777701558,OLD,Major
Auto,AAFGD,D,'06091991,F,Mobile,7777701559,OLD,Major
Auto,AAFGE,E,'06101991,M,Mobile,7777701560,OLD,Major
Auto,AAFGF,F,'06111991,M,Mobile,7777701561,OLD,Major
Auto,AAFGG,G,'06121991,F,Mobile,7777701562,OLD,Major
Auto,AAFGH,H,'06131991,F,Mobile,7777701563,OLD,Major
Auto,AAFGI,I,'06141991,M,Mobile,7777701564,OLD,Major
Auto,AAFGJ,J,'06151991,M,Mobile,7777701565,OLD,Major
Auto,AAFGK,K,'06161991,F,Mobile,7777701566,OLD,Major
Auto,AAFGL,L,'06171991,M,Mobile,7777701567,OLD,Major
Auto,AAFGM,M,'06181991,F,Mobile,7777701568,OLD,Major
Auto,AAFGN,N,'06191991,F,Mobile,7777701569,OLD,Major
Auto,AAFGO,O,'06201991,M,Mobile,7777701570,OLD,Major
Auto,AAFGP,P,'06211991,M,Mobile,7777701571,OLD,Major
Auto,AAFGQ,Q,'06221991,F,Mobile,7777701572,OLD,Major
Auto,AAFGR,R,'06231991,F,Mobile,7777701573,OLD,Major
Auto,AAFGS,S,'06241991,M,Mobile,7777701574,OLD,Major
Auto,AAFGT,T,'06251991,M,Mobile,7777701575,OLD,Major
Auto,AAFGU,U,'06261991,F,Mobile,7777701576,OLD,Major
Auto,AAFGV,V,'06271991,M,Mobile,7777701577,OLD,Major
Auto,AAFGW,W,'06281991,F,Mobile,7777701578,OLD,Major
Auto,AAFGX,X,'06291991,F,Mobile,7777701579,OLD,Major
Auto,AAFGY,Y,'06301991,M,Mobile,7777701580,OLD,Major
Auto,AAFGZ,Z,'07011991,M,Mobile,7777701581,OLD,Major
Auto,AAFHA,A,'07021991,F,Mobile,7777701582,OLD,Major
Auto,AAFHB,B,'07031991,F,Mobile,7777701583,OLD,Major
Auto,AAFHC,C,'07041991,M,Mobile,7777701584,OLD,Major
Auto,AAFHD,D,'07051991,M,Mobile,7777701585,OLD,Major
Auto,AAFHE,E,'07061991,F,Mobile,7777701586,OLD,Major
Auto,AAFHF,F,'07071991,M,Mobile,7777701587,OLD,Major
Auto,AAFHG,G,'07081991,F,Mobile,7777701588,OLD,Major
Auto,AAFHH,H,'07091991,F,Mobile,7777701589,OLD,Major
Auto,AAFHI,I,'07101991,M,Mobile,7777701590,OLD,Major
Auto,AAFHJ,J,'07111991,M,Mobile,7777701591,OLD,Major
Auto,AAFHK,K,'07121991,F,Mobile,7777701592,OLD,Major
Auto,AAFHL,L,'07131991,F,Mobile,7777701593,OLD,Major
Auto,AAFHM,M,'07141991,M,Mobile,7777701594,OLD,Major
Auto,AAFHN,N,'07151991,M,Mobile,7777701595,OLD,Major
Auto,AAFHO,O,'07161991,F,Mobile,7777701596,OLD,Major
Auto,AAFHP,P,'07171991,M,Mobile,7777701597,OLD,Major
Auto,AAFHQ,Q,'07181991,F,Mobile,7777701598,OLD,Major
Auto,AAFHR,R,'07191991,F,Mobile,7777701599,OLD,Major
Auto,AAFHS,S,'07201991,M,Mobile,7777701600,OLD,Major
Auto,AAFHT,T,'07211991,M,Mobile,7777701601,OLD,Major
Auto,AAFHU,U,'07221991,F,Mobile,7777701602,OLD,Major
Auto,AAFHV,V,'07231991,F,Mobile,7777701603,OLD,Major
Auto,AAFHW,W,'07241991,M,Mobile,7777701604,OLD,Major
Auto,AAFHX,X,'07251991,M,Mobile,7777701605,OLD,Major
Auto,AAFHY,Y,'07261991,F,Mobile,7777701606,OLD,Major
Auto,AAFHZ,Z,'07271991,M,Mobile,7777701607,OLD,Major
Auto,AAFIA,A,'07281991,F,Mobile,7777701608,OLD,Major
Auto,AAFIB,B,'07291991,F,Mobile,7777701609,OLD,Major
Auto,AAFIC,C,'07301991,M,Mobile,7777701610,OLD,Major
Auto,AAFID,D,'07311991,M,Mobile,7777701611,OLD,Major
Auto,AAFIE,E,'08011991,F,Mobile,7777701612,OLD,Major
Auto,AAFIF,F,'08021991,F,Mobile,7777701613,OLD,Major
Auto,AAFIG,G,'08031991,M,Mobile,7777701614,OLD,Major
Auto,AAFIH,H,'08041991,M,Mobile,7777701615,OLD,Major
Auto,AAFII,I,'08051991,F,Mobile,7777701616,OLD,Major
Auto,AAFIJ,J,'08061991,M,Mobile,7777701617,OLD,Major
Auto,AAFIK,K,'08071991,F,Mobile,7777701618,OLD,Major
Auto,AAFIL,L,'08081991,F,Mobile,7777701619,OLD,Major
Auto,AAFIM,M,'08091991,M,Mobile,7777701620,OLD,Major
Auto,AAFIN,N,'08101991,M,Mobile,7777701621,OLD,Major
Auto,AAFIO,O,'08111991,F,Mobile,7777701622,OLD,Major
Auto,AAFIP,P,'08121991,F,Mobile,7777701623,OLD,Major
Auto,AAFIQ,Q,'08131991,M,Mobile,7777701624,OLD,Major
Auto,AAFIR,R,'08141991,M,Mobile,7777701625,OLD,Major
Auto,AAFIS,S,'08151991,F,Mobile,7777701626,OLD,Major
Auto,AAFIT,T,'08161991,M,Mobile,7777701627,OLD,Major
Auto,AAFIU,U,'08171991,F,Mobile,7777701628,OLD,Major
Auto,AAFIV,V,'08181991,F,Mobile,7777701629,OLD,Major
Auto,AAFIW,W,'08191991,M,Mobile,7777701630,OLD,Major
Auto,AAFIX,X,'08201991,M,Mobile,7777701631,OLD,Major
Auto,AAFIY,Y,'08211991,F,Mobile,7777701632,OLD,Major
Auto,AAFIZ,Z,'08221991,F,Mobile,7777701633,OLD,Major
Auto,AAFJA,A,'08231991,M,Mobile,7777701634,OLD,Major
Auto,AAFJB,B,'08241991,F,Mobile,7777701635,OLD,Major
Auto,AAFJC,C,'08251991,F,Mobile,7777701636,OLD,Major
Auto,AAFJD,D,'08261991,M,Mobile,7777701637,OLD,Major
Auto,AAFJE,E,'08271991,M,Mobile,7777701638,OLD,Major
Auto,AAFJF,F,'08281991,M,Mobile,7777701639,OLD,Major
Auto,AAFJG,G,'08291991,F,Mobile,7777701640,OLD,Major
Auto,AAFJH,H,'08301991,M,Mobile,7777701641,OLD,Major
Auto,AAFJI,I,'08311991,F,Mobile,7777701642,OLD,Major
Auto,AAFJJ,J,'09011991,M,Mobile,7777701643,OLD,Major
Auto,AAFJK,K,'09021991,F,Mobile,7777701644,OLD,Major
Auto,AAFJL,L,'09031991,F,Mobile,7777701645,OLD,Major
Auto,AAFJM,M,'09041991,M,Mobile,7777701646,OLD,Major
Auto,AAFJN,N,'09051991,M,Mobile,7777701647,OLD,Major
Auto,AAFJO,O,'09061991,M,Mobile,7777701648,OLD,Major
Auto,AAFJP,P,'09071991,F,Mobile,7777701649,OLD,Major
Auto,AAFJQ,Q,'09081991,M,Mobile,7777701650,OLD,Major
Auto,AAFJR,R,'09091991,F,Mobile,7777701651,OLD,Major
Auto,AAFJS,S,'09101991,M,Mobile,7777701652,OLD,Major
Auto,AAFJT,T,'09111991,M,Mobile,7777701653,OLD,Major
Auto,AAFJU,U,'09121991,F,Mobile,7777701654,OLD,Major
Auto,AAFJV,V,'09131991,F,Mobile,7777701655,OLD,Major
Auto,AAFJW,W,'09141991,M,Mobile,7777701656,OLD,Major
Auto,AAFJX,X,'09151991,M,Mobile,7777701657,OLD,Major
Auto,AAFJY,Y,'09161991,F,Mobile,7777701658,OLD,Major
Auto,AAFJZ,Z,'09171991,M,Mobile,7777701659,OLD,Major
Auto,AAFKA,A,'09181991,F,Mobile,7777701660,OLD,Major
Auto,AAFKB,B,'09191991,F,Mobile,7777701661,OLD,Major
Auto,AAFKC,C,'09201991,M,Mobile,7777701662,OLD,Major
Auto,AAFKD,D,'09211991,M,Mobile,7777701663,OLD,Major
Auto,AAFKE,E,'09221991,F,Mobile,7777701664,OLD,Major
Auto,AAFKF,F,'09231991,F,Mobile,7777701665,OLD,Major
Auto,AAFKG,G,'09241991,M,Mobile,7777701666,OLD,Major
Auto,AAFKH,H,'09251991,M,Mobile,7777701667,OLD,Major
Auto,AAFKI,I,'09261991,F,Mobile,7777701668,OLD,Major
Auto,AAFKJ,J,'09271991,M,Mobile,7777701669,OLD,Major
Auto,AAFKK,K,'09281991,F,Mobile,7777701670,OLD,Major
Auto,AAFKL,L,'09291991,F,Mobile,7777701671,OLD,Major
Auto,AAFKM,M,'09301991,M,Mobile,7777701672,OLD,Major
Auto,AAFKN,N,'10011991,M,Mobile,7777701673,OLD,Major
Auto,AAFKO,O,'10021991,F,Mobile,7777701674,OLD,Major
Auto,AAFKP,P,'10031991,F,Mobile,7777701675,OLD,Major
Auto,AAFKQ,Q,'10041991,M,Mobile,7777701676,OLD,Major
Auto,AAFKR,R,'10051991,M,Mobile,7777701677,OLD,Major
Auto,AAFKS,S,'10061991,F,Mobile,7777701678,OLD,Major
Auto,AAFKT,T,'10071991,M,Mobile,7777701679,OLD,Major
Auto,AAFKU,U,'10081991,F,Mobile,7777701680,OLD,Major
Auto,AAFKV,V,'10091991,F,Mobile,7777701681,OLD,Major
Auto,AAFKW,W,'10101991,M,Mobile,7777701682,OLD,Major
Auto,AAFKX,X,'10111991,M,Mobile,7777701683,OLD,Major
Auto,AAFKY,Y,'10121991,F,Mobile,7777701684,OLD,Major
Auto,AAFKZ,Z,'10131991,F,Mobile,7777701685,OLD,Major
Auto,AAFLA,A,'10141991,M,Mobile,7777701686,OLD,Major
Auto,AAFLB,B,'10151991,M,Mobile,7777701687,OLD,Major
Auto,AAFLC,C,'10161991,F,Mobile,7777701688,OLD,Major
Auto,AAFLD,D,'10171991,M,Mobile,7777701689,OLD,Major
Auto,AAFLE,E,'10181991,F,Mobile,7777701690,OLD,Major
Auto,AAFLF,F,'10191991,F,Mobile,7777701691,OLD,Major
Auto,AAFLG,G,'10201991,M,Mobile,7777701692,OLD,Major
Auto,AAFLH,H,'10211991,M,Mobile,7777701693,OLD,Major
Auto,AAFLI,I,'10221991,F,Mobile,7777701694,OLD,Major
Auto,AAFLJ,J,'10231991,F,Mobile,7777701695,OLD,Major
Auto,AAFLK,K,'10241991,M,Mobile,7777701696,OLD,Major
Auto,AAFLL,L,'10251991,M,Mobile,7777701697,OLD,Major
Auto,AAFLM,M,'10261991,F,Mobile,7777701698,OLD,Major
Auto,AAFLN,N,'10271991,M,Mobile,7777701699,OLD,Major
Auto,AAFLO,O,'10282005,F,Mobile,7777701700,OLD,Minor
Auto,AAFLP,P,'10292005,F,Mobile,7777701701,OLD,Minor
Auto,AAFLQ,Q,'10302005,M,Mobile,7777701702,OLD,Minor
Auto,AAFLR,R,'10312005,M,Mobile,7777701703,OLD,Minor
Auto,AAFLS,S,'11012005,F,Mobile,7777701704,NEW,Minor
Auto,AAFLT,T,'11022005,F,Mobile,7777701705,NEW,Minor
Auto,AAFLU,U,'11032005,M,Mobile,7777701706,NEW,Minor
Auto,AAFLV,V,'11042005,M,Mobile,7777701707,NEW,Minor
Auto,AAFLW,W,'11052005,F,Mobile,7777701708,NEW,Minor
Auto,AAFLX,X,'11062005,M,Mobile,7777701709,NEW,Minor
Auto,AAFLY,Y,'11072005,F,Mobile,7777701710,NEW,Minor
Auto,AAFLZ,Z,'11082005,F,Mobile,7777701711,NEW,Minor
Auto,AAFMA,A,'11092005,M,Mobile,7777701712,NEW,Minor
Auto,AAFMB,B,'11102005,M,Mobile,7777701713,NEW,Minor
Auto,AAFMC,C,'11112005,F,Mobile,7777701714,NEW,Minor
Auto,AAFMD,D,'11122005,F,Mobile,7777701715,NEW,Minor
Auto,AAFME,E,'11132005,M,Mobile,7777701716,NEW,Minor
Auto,AAFMF,F,'11142005,M,Mobile,7777701717,NEW,Minor
Auto,AAFMG,G,'11152005,F,Mobile,7777701718,NEW,Minor
Auto,AAFMH,H,'11162005,M,Mobile,7777701719,NEW,Minor
Auto,AAFMI,I,'11172005,F,Mobile,7777701720,NEW,Minor
Auto,AAFMJ,J,'11182005,F,Mobile,7777701721,NEW,Minor
Auto,AAFMK,K,'11192005,M,Mobile,7777701722,NEW,Minor
Auto,AAFML,L,'11202005,M,Mobile,7777701723,NEW,Minor
Auto,AAFMM,M,'11212005,F,Mobile,7777701724,NEW,Minor
Auto,AAFMN,N,'11222005,F,Mobile,7777701725,NEW,Minor
Auto,AAFMO,O,'11232005,M,Mobile,7777701726,NEW,Minor
Auto,AAFMP,P,'11242005,M,Mobile,7777701727,NEW,Minor
Auto,AAFMQ,Q,'11252005,F,Mobile,7777701728,NEW,Minor
Auto,AAFMR,R,'11262005,M,Mobile,7777701729,NEW,Minor
Auto,AAFMS,S,'11272005,F,Mobile,7777701730,NEW,Minor
Auto,AAFMT,T,'11282005,F,Mobile,7777701731,NEW,Minor
Auto,AAFMU,U,'11292005,M,Mobile,7777701732,NEW,Minor
Auto,AAFMV,V,'11302005,M,Mobile,7777701733,NEW,Minor
Auto,AAFMW,W,'12012005,F,Mobile,7777701734,NEW,Minor
Auto,AAFMX,X,'12022005,F,Mobile,7777701735,NEW,Minor
Auto,AAFMY,Y,'12032005,M,Mobile,7777701736,NEW,Minor
Auto,AAFMZ,Z,'12042005,M,Mobile,7777701737,NEW,Minor
Auto,AAFNA,A,'12052005,F,Mobile,7777701738,NEW,Minor
Auto,AAFNB,B,'12062005,M,Mobile,7777701739,NEW,Minor
Auto,AAFNC,C,'12072005,F,Mobile,7777701740,NEW,Minor
Auto,AAFND,D,'12082005,F,Mobile,7777701741,NEW,Minor
Auto,AAFNE,E,'12092005,M,Mobile,7777701742,NEW,Minor
Auto,AAFNF,F,'12102005,M,Mobile,7777701743,NEW,Minor
Auto,AAFNG,G,'12112005,F,Mobile,7777701744,NEW,Minor
Auto,AAFNH,H,'12122005,F,Mobile,7777701745,NEW,Minor
Auto,AAFNI,I,'12132005,M,Mobile,7777701746,NEW,Minor
Auto,AAFNJ,J,'12142005,M,Mobile,7777701747,NEW,Minor
Auto,AAFNK,K,'12152005,F,Mobile,7777701748,NEW,Minor
Auto,AAFNL,L,'12162005,M,Mobile,7777701749,NEW,Minor
Auto,AAFNM,M,'12171991,F,Mobile,7777701750,OLD,Major
Auto,AAFNN,N,'12181991,F,Mobile,7777701751,OLD,Major
Auto,AAFNO,O,'12191991,M,Mobile,7777701752,OLD,Major
Auto,AAFNP,P,'12201991,M,Mobile,7777701753,OLD,Major
Auto,AAFNQ,Q,'12211991,F,Mobile,7777701754,OLD,Major
Auto,AAFNR,R,'12221991,F,Mobile,7777701755,OLD,Major
Auto,AAFNS,S,'12231991,M,Mobile,7777701756,OLD,Major
Auto,AAFNT,T,'12241991,M,Mobile,7777701757,OLD,Major
Auto,AAFNU,U,'12251991,F,Mobile,7777701758,OLD,Major
Auto,AAFNV,V,'12261991,M,Mobile,7777701759,OLD,Major
Auto,AAFNW,W,'12271991,F,Mobile,7777701760,OLD,Major
Auto,AAFNX,X,'12281991,F,Mobile,7777701761,OLD,Major
Auto,AAFNY,Y,'12291991,M,Mobile,7777701762,OLD,Major
Auto,AAFNZ,Z,'12301991,M,Mobile,7777701763,OLD,Major
Auto,AAFOA,A,'12311991,F,Mobile,7777701764,OLD,Major
Auto,AAFOB,B,'01011991,F,Mobile,7777701765,OLD,Major
Auto,AAFOC,C,'01021991,M,Mobile,7777701766,OLD,Major
Auto,AAFOD,D,'01031991,M,Mobile,7777701767,OLD,Major
Auto,AAFOE,E,'01041991,F,Mobile,7777701768,OLD,Major
Auto,AAFOF,F,'01051991,M,Mobile,7777701769,OLD,Major
Auto,AAFOG,G,'01061991,F,Mobile,7777701770,OLD,Major
Auto,AAFOH,H,'01071991,F,Mobile,7777701771,OLD,Major
Auto,AAFOI,I,'01081991,M,Mobile,7777701772,OLD,Major
Auto,AAFOJ,J,'01091991,M,Mobile,7777701773,OLD,Major
Auto,AAFOK,K,'01101991,F,Mobile,7777701774,OLD,Major
Auto,AAFOL,L,'01111991,F,Mobile,7777701775,OLD,Major
Auto,AAFOM,M,'01121991,M,Mobile,7777701776,OLD,Major
Auto,AAFON,N,'01131991,M,Mobile,7777701777,OLD,Major
Auto,AAFOO,O,'01141991,F,Mobile,7777701778,OLD,Major
Auto,AAFOP,P,'01151991,M,Mobile,7777701779,OLD,Major
Auto,AAFOQ,Q,'01161991,F,Mobile,7777701780,OLD,Major
Auto,AAFOR,R,'01171991,F,Mobile,7777701781,OLD,Major
